Timestamp,Flambeau (MW)
2019-07-30T05:00:00Z,6.74131155
2019-08-03T05:00:00Z,5.9924655
2019-08-07T05:00:00Z,7.461836
2019-08-11T05:00:00Z,6.573604
2019-08-15T05:00:00Z,5.54228926
2019-08-19T05:00:00Z,12.2894506
2019-08-23T05:00:00Z,6.7059145
2019-08-27T05:00:00Z,5.34265947
2019-08-31T05:00:00Z,6.110309
2019-09-04T05:00:00Z,9.002756
2019-09-08T05:00:00Z,11.1529951
2019-09-12T05:00:00Z,10.0082378
2019-09-16T05:00:00Z,13.5455427
2019-09-20T05:00:00Z,7.58932257
2019-09-24T05:00:00Z,7.859891
2019-09-28T05:00:00Z,12.5153151
2019-10-02T05:00:00Z,21.4604149
2019-10-06T05:00:00Z,18.7608128
2019-10-10T05:00:00Z,15.1656466
2019-10-14T05:00:00Z,15.4242039
2019-10-18T05:00:00Z,20.4732418
2019-10-22T05:00:00Z,20.8967438
2019-10-26T05:00:00Z,18.6014233
2019-10-30T05:00:00Z,13.6066151
2019-11-03T05:00:00Z,9.997346
2019-11-07T06:00:00Z,8.1092205
2019-11-11T06:00:00Z,9.031448
2019-11-15T06:00:00Z,7.701962
2019-11-19T06:00:00Z,6.5224247
2019-11-23T06:00:00Z,8.241252
2019-11-27T06:00:00Z,8.046425
2019-12-01T06:00:00Z,8.756082
2019-12-05T06:00:00Z,9.58867
2019-12-09T06:00:00Z,8.791048
2019-12-13T06:00:00Z,8.02543449
2019-12-17T06:00:00Z,8.619797
2019-12-21T06:00:00Z,10.0288057
2019-12-25T06:00:00Z,8.597773
2019-12-29T06:00:00Z,8.060184
2020-01-02T06:00:00Z,14.5176516
2020-01-06T06:00:00Z,13.512064
2020-01-10T06:00:00Z,11.06016
2020-01-14T06:00:00Z,9.160459
2020-01-18T06:00:00Z,10.5607691
2020-01-22T06:00:00Z,10.0378485
2020-01-26T06:00:00Z,11.1582232
2020-01-30T06:00:00Z,10.3287649
2020-02-03T06:00:00Z,10.0287943
2020-02-07T06:00:00Z,9.107804
2020-02-11T06:00:00Z,8.846612
2020-02-15T06:00:00Z,8.297875
2020-02-19T06:00:00Z,9.040289
2020-02-23T06:00:00Z,7.52314
2020-02-27T06:00:00Z,7.500432
2020-03-02T06:00:00Z,7.766574
2020-03-06T06:00:00Z,7.07401276
2020-03-10T05:00:00Z,8.591082
2020-03-14T05:00:00Z,13.5216255
2020-03-18T05:00:00Z,11.9989462
2020-03-22T05:00:00Z,12.5722618
2020-03-26T05:00:00Z,13.5737219
2020-03-30T05:00:00Z,21.097414
2020-04-03T05:00:00Z,21.1952171
2020-04-07T05:00:00Z,21.1301651
2020-04-11T05:00:00Z,22.0119514
2020-04-15T05:00:00Z,20.9272118
2020-04-19T05:00:00Z,14.5908194
2020-04-23T05:00:00Z,15.0980644
2020-04-27T05:00:00Z,13.9673328
2020-05-01T05:00:00Z,21.731451
2020-05-05T05:00:00Z,19.11602
2020-05-09T05:00:00Z,10.513546
2020-05-13T05:00:00Z,8.018206
2020-05-17T05:00:00Z,8.019704
2020-05-21T05:00:00Z,7.659155
2020-05-25T05:00:00Z,6.685345
2020-05-29T05:00:00Z,11.0370235
2020-06-02T05:00:00Z,6.506102
2020-06-06T05:00:00Z,5.597575
2020-06-10T05:00:00Z,9.214388
2020-06-14T05:00:00Z,20.7007828
2020-06-18T05:00:00Z,10.3295107
2020-06-22T05:00:00Z,11.0677233
2020-06-26T05:00:00Z,8.068764
2020-06-30T05:00:00Z,13.1074381
2020-07-04T05:00:00Z,6.97463751
2020-07-08T05:00:00Z,7.229658
2020-07-12T05:00:00Z,18.22712
2020-07-16T05:00:00Z,18.1055775
2020-07-20T05:00:00Z,16.0795937
2020-07-24T05:00:00Z,11.53051
2020-07-28T05:00:00Z,20.8668365
2020-08-01T05:00:00Z,16.1059227
2020-08-05T05:00:00Z,9.52995
2020-08-09T05:00:00Z,11.1757689
2020-08-13T05:00:00Z,11.0363464
2020-08-17T05:00:00Z,11.752492
2020-08-21T05:00:00Z,7.530338
2020-08-25T05:00:00Z,11.3216238
2020-08-29T05:00:00Z,7.02095652
2020-09-02T05:00:00Z,9.570967
2020-09-06T05:00:00Z,6.992988
2020-09-10T05:00:00Z,6.49184561
2020-09-14T05:00:00Z,7.7487607
2020-09-18T05:00:00Z,6.01171541
2020-09-22T05:00:00Z,5.743859
2020-09-26T05:00:00Z,9.127146
2020-09-30T05:00:00Z,10.0123024
2020-10-04T05:00:00Z,7.90119362
2020-10-08T05:00:00Z,5.04970455
2020-10-12T05:00:00Z,4.97633743
2020-10-16T05:00:00Z,9.513632
2020-10-20T05:00:00Z,6.82020473
2020-10-24T05:00:00Z,13.06708
2020-10-28T05:00:00Z,9.783869
2020-11-01T05:00:00Z,10.056263
2020-11-05T06:00:00Z,8.51229
2020-11-09T06:00:00Z,8.596605
2020-11-13T06:00:00Z,14.0340023
2020-11-17T06:00:00Z,11.98272
2020-11-21T06:00:00Z,9.514222
2020-11-25T06:00:00Z,9.791945
2020-11-29T06:00:00Z,7.789251
2020-12-03T06:00:00Z,12.268609
2020-12-07T06:00:00Z,11.0374575
2020-12-11T06:00:00Z,11.5863476
2020-12-15T06:00:00Z,5.26900339
2020-12-19T06:00:00Z,6.06380224
2020-12-23T06:00:00Z,6.36949635
2020-12-27T06:00:00Z,6.056852
2020-12-31T06:00:00Z,5.934901
2021-01-04T06:00:00Z,6.84093
2021-01-08T06:00:00Z,5.79918337
2021-01-12T06:00:00Z,5.7602725
2021-01-16T06:00:00Z,5.97658
2021-01-20T06:00:00Z,5.50932646
2021-01-24T06:00:00Z,5.37653875
2021-01-28T06:00:00Z,5.74160147
2021-02-01T06:00:00Z,5.49442339
2021-02-05T06:00:00Z,5.63268948
2021-02-09T06:00:00Z,4.472959
2021-02-13T06:00:00Z,5.015706
2021-02-17T06:00:00Z,4.7468977
2021-02-21T06:00:00Z,4.48857641
2021-02-25T06:00:00Z,4.37395668
2021-03-01T06:00:00Z,5.317778
2021-03-05T06:00:00Z,6.560082
2021-03-09T06:00:00Z,6.011442
2021-03-13T06:00:00Z,15.8990946
2021-03-17T05:00:00Z,13.6229
2021-03-21T05:00:00Z,12.0783949
2021-03-25T05:00:00Z,15.7006035
2021-03-29T05:00:00Z,15.8497543
2021-04-02T05:00:00Z,10.0438929
2021-04-06T05:00:00Z,8.015863
2021-04-10T05:00:00Z,15.9043331
2021-04-14T05:00:00Z,15.886488
2021-04-18T05:00:00Z,15.853631
2021-04-22T05:00:00Z,13.0207415
2021-04-26T05:00:00Z,11.5752325
2021-04-30T05:00:00Z,15.8490963
2021-05-04T05:00:00Z,12.1112537
2021-05-08T05:00:00Z,10.075943
2021-05-12T05:00:00Z,8.094196
2021-05-16T05:00:00Z,5.694552
2021-05-20T05:00:00Z,5.82044744
2021-05-24T05:00:00Z,13.5063429
2021-05-28T05:00:00Z,14.5454674
2021-06-01T05:00:00Z,8.063664
2021-06-05T05:00:00Z,7.37106848
2021-06-09T05:00:00Z,6.128941
2021-06-13T05:00:00Z,11.1534872
2021-06-17T05:00:00Z,5.43875027
2021-06-21T05:00:00Z,8.124291
2021-06-25T05:00:00Z,7.991772
2021-06-29T05:00:00Z,6.603681
2021-07-03T05:00:00Z,6.10005474
2021-07-07T05:00:00Z,5.52987671
2021-07-11T05:00:00Z,5.39728165
2021-07-15T05:00:00Z,5.54718
2021-07-19T05:00:00Z,4.16903257
2021-07-23T05:00:00Z,4.9677453
2021-07-27T05:00:00Z,6.3183713
2021-07-31T05:00:00Z,11.0085754
2021-08-04T05:00:00Z,5.08311844
2021-08-08T05:00:00Z,6.28343964
2021-08-12T05:00:00Z,7.3272686
2021-08-16T05:00:00Z,4.81306553
2021-08-20T05:00:00Z,3.8662467
2021-08-24T05:00:00Z,3.28327441
2021-08-28T05:00:00Z,3.22497869
2021-09-01T05:00:00Z,3.546703
2021-09-05T05:00:00Z,3.54907417
2021-09-09T05:00:00Z,2.83762383
2021-09-13T05:00:00Z,2.349463
2021-09-17T05:00:00Z,7.53892136
2021-09-21T05:00:00Z,3.73288679
2021-09-25T05:00:00Z,4.980959
2021-09-29T05:00:00Z,4.325271
2021-10-03T05:00:00Z,4.01169872
2021-10-07T05:00:00Z,4.50442171
2021-10-11T05:00:00Z,4.18610954
2021-10-15T05:00:00Z,4.296514
2021-10-19T05:00:00Z,3.33761334
2021-10-23T05:00:00Z,7.04987526
2021-10-27T05:00:00Z,4.08357334
2021-10-31T05:00:00Z,3.9569304
2021-11-04T05:00:00Z,4.05901766
2021-11-08T06:00:00Z,3.623608
2021-11-12T06:00:00Z,10.1374035
2021-11-16T06:00:00Z,10.0347958
2021-11-20T06:00:00Z,5.074909
2021-11-24T06:00:00Z,5.070774
2021-11-28T06:00:00Z,5.29091024
2021-12-02T06:00:00Z,4.560659
2021-12-06T06:00:00Z,3.07677174
2021-12-10T06:00:00Z,4.05281544
2021-12-14T06:00:00Z,4.97515631
2021-12-18T06:00:00Z,8.733593
2021-12-22T06:00:00Z,6.09205866
2021-12-26T06:00:00Z,4.55537558
2021-12-30T06:00:00Z,5.065855
2022-01-03T06:00:00Z,5.291884
2022-01-07T06:00:00Z,5.54065037
2022-01-11T06:00:00Z,5.039547
2022-01-15T06:00:00Z,5.67747927
2022-01-19T06:00:00Z,5.50438833
2022-01-23T06:00:00Z,4.98743
2022-01-27T06:00:00Z,4.797687
2022-01-31T06:00:00Z,4.72064161
2022-02-04T06:00:00Z,4.426637
2022-02-08T06:00:00Z,4.003746
2022-02-12T06:00:00Z,3.982656
2022-02-16T06:00:00Z,4.263427
2022-02-20T06:00:00Z,4.50127935
2022-02-24T06:00:00Z,4.471786
2022-02-28T06:00:00Z,4.02268076
2022-03-04T06:00:00Z,4.763265
2022-03-08T06:00:00Z,4.55937672
2022-03-12T06:00:00Z,4.388642
2022-03-16T05:00:00Z,5.08174133
2022-03-20T05:00:00Z,6.07682
2022-03-24T05:00:00Z,17.7276478
2022-03-28T05:00:00Z,14.6395741
2022-04-01T05:00:00Z,10.5321
2022-04-05T05:00:00Z,15.1536493
2022-04-09T05:00:00Z,23.32723
2022-04-13T05:00:00Z,23.49861
